Bee_ID,Species,Date COLLECTED,Plant collected on,Farm,PA,Count,Wing_MM,Counter_Inits,Notes,Treatment
363,imp,08/04/2021,zinnia,SIMP,1,68,,SG,C,CON
364,imp,08/04/2021,echinacea,SIMP,0,0,,RY,,CON
365,imp,08/04/2021,cosmos,SIMP,1,16,,RY,,CON
366,imp,08/04/2021,echinacea,SIMP,0,0,,SG,C,CON
367,imp,08/04/2021,zinnia,SIMP,0,0,,SG,,CON
368,imp,08/04/2021,zinnia,SIMP,NA,NA,,NA,C died 8/5/21,CON
369,bimac,08/05/2021,zinnia,LAUR,1,18,,SG,,CUT
370,vagans,08/05/2021,zinnia,LAUR,1,19,,SG,,CUT
371,vagans,08/05/2021,zinnia,LAUR,1,8,,SG,,CUT
372,vagans,08/05/2021,zinnia,LAUR,0,0,,SG,C,CUT
373,vagans,08/05/2021,zinnia,LAUR,1,34,,RY,,CUT
374,vagans,08/05/2021,zinnia,LAUR,1,157,,SG,,CUT
375,vagans,08/05/2021,zinnia,LAUR,1,125,,RY,,CUT
376,vagans,08/05/2021,cosmos,LAUR,0,0,,RY,,CUT
377,vagans,08/05/2021,zinnia,LAUR,0,0,,RY,C,CUT
378,vagans,08/05/2021,zinnia,LAUR,0,0,,RY,,CUT
379,vagans,08/05/2021,cosmos,LAUR,1,20,,RY,,CUT
380,vagans,08/05/2021,zinnia,LAUR,1,6,,RY,,CUT
381,gris,08/05/2021,zinnia,LAUR,1,69,,RY,dead bee 381 vagans but another 381 bee?,CUT
382,bimac,08/05/2021,zinnia,LAUR,0,0,,RY,,CUT
383,vagans,08/05/2021,zinnia,LAUR,NA,NA,,NA,dead 8/6/21,CUT
384,NA,08/05/2021,zinnia,LAUR,0,0,,SG,"old, perplexes",CUT
385,NA,08/05/2021,cosmos,LAUR,0,0,,SG,perplexes,CUT
